age,salary,department,join_date
28,61425,Sales,2017-09-15
25,72479,Sales,2015-11-15
28,63734,HR,2017-01-07
26,68943,Sales,2017-02-06
27,62932,IT,2015-07-05
27,70866,HR,2018-05-06
26,74394,Sales,2015-02-24
33,66269,HR,2017-08-20
31,73404,HR,2018-02-28
35,59978,Sales,2017-12-11
31,73941,Sales,2017-02-12
26,65052,IT,2016-04-26
27,71668,IT,2017-05-21
31,72150,IT,2016-11-29
30,59054,Sales,2017-06-22
32,69913,HR,2017-01-20
35,56759,IT,2017-10-08
27,72049,Sales,2015-06-04
26,56944,IT,2016-08-28
25,71938,HR,2018-05-17
27,56762,IT,2018-05-19
27,66306,Sales,2018-12-30
32,66128,HR,2018-02-05
29,68804,HR,2016-07-09
34,64077,HR,2016-05-07
25,59793,HR,2016-11-04
35,73348,HR,2015-05-06
32,63437,Sales,2017-05-22
29,62534,IT,2015-09-12
34,67794,HR,2016-03-19
29,56835,IT,2015-03-28
32,69273,IT,2017-12-21
26,56749,Sales,2015-08-23
28,55762,Sales,2018-06-09
26,63437,HR,2018-05-07
32,65289,Sales,2015-08-01
29,55242,HR,2018-02-26
32,57973,HR,2018-06-24
26,62855,IT,2015-02-28
33,59892,Sales,2018-07-11
29,58712,IT,2015-05-09
25,69400,IT,2016-12-15
28,68935,Sales,2017-06-25
34,73501,HR,2015-10-01
33,65975,IT,2016-05-28
35,66029,IT,2016-03-09
27,60023,Sales,2018-05-08
30,58738,IT,2018-03-23
31,56329,HR,2017-04-14
34,62331,HR,2015-09-21
33,63976,HR,2016-12-11
32,60183,HR,2017-12-04
26,73194,Sales,2015-12-29
25,69964,HR,2018-12-21
34,57085,Sales,2015-02-14
31,73179,Sales,2016-02-21
27,55366,IT,2018-04-05
31,73151,HR,2015-11-25
29,56974,IT,2018-01-13
30,60808,Sales,2015-10-27
30,60756,Sales,2016-07-17
33,63207,HR,2016-08-13
27,72858,IT,2018-06-08
33,64641,IT,2016-05-25
35,65463,IT,2015-06-15
26,74756,IT,2016-01-15
32,58777,Sales,2018-12-10
32,73881,HR,2018-04-06
35,67230,Sales,2018-06-30
33,60160,Sales,2016-07-21
31,67212,Sales,2018-10-29
34,68643,Sales,2015-07-23
25,56168,Sales,2018-08-26
35,64907,Sales,2015-06-01
25,70876,Sales,2017-08-25
33,62781,Sales,2017-03-23
28,72580,IT,2018-07-15
33,57954,IT,2018-01-31
27,63148,HR,2018-06-01
31,57908,HR,2018-07-27
27,57474,Sales,2016-12-21
35,60030,Sales,2015-05-05
33,64121,Sales,2018-12-11
28,70729,HR,2018-05-03
27,57213,HR,2017-03-05
28,67836,IT,2018-12-31
28,68793,IT,2017-02-09
35,74551,Sales,2016-04-28
29,56508,Sales,2015-04-17
32,55947,IT,2018-11-23
35,55252,HR,2018-10-08
30,70447,IT,2015-12-17
34,56307,HR,2017-07-14
34,57723,HR,2015-04-29
34,61022,Sales,2015-05-13
28,67688,HR,2016-08-01
26,68431,HR,2016-12-20
27,66486,Sales,2017-10-24
29,68286,HR,2017-04-23
30,60789,IT,2016-09-12
29,55484,HR,2017-06-15
28,72766,HR,2015-11-17
33,58200,HR,2018-09-05
28,65268,Sales,2017-03-23
33,74432,HR,2017-01-16
35,58692,HR,2016-08-09
25,70376,IT,2015-10-02
35,62785,HR,2015-02-18
33,60414,HR,2017-12-09
34,67952,IT,2015-08-16
35,64163,Sales,2017-02-23
34,56510,Sales,2017-02-02
28,66467,Sales,2015-06-05
25,74473,Sales,2017-10-25
30,58953,HR,2016-02-17
25,72030,IT,2018-10-23
30,59562,Sales,2018-06-23
25,73904,Sales,2015-09-30
35,63235,HR,2016-05-21
34,71322,IT,2016-04-16
30,73802,HR,2016-11-18
26,65127,IT,2016-02-01
30,68845,HR,2017-07-23
29,60532,IT,2017-04-25
29,69914,HR,2015-05-03
26,65334,Sales,2016-06-18
30,74816,Sales,2016-06-20
27,74516,IT,2016-09-16
30,71995,IT,2018-09-01
29,67235,HR,2017-09-20
31,62913,Sales,2017-10-21
31,70976,IT,2018-10-07
25,55118,Sales,2015-10-15
29,72144,Sales,2018-02-01
34,56096,Sales,2016-11-05
28,74468,IT,2018-01-18
26,55773,Sales,2015-01-05
27,60331,Sales,2017-02-23
25,64911,HR,2018-03-20
33,57668,Sales,2018-09-18
33,57208,Sales,2018-09-19
