aircraft_id,flight_number,departure_airport,arrival_airport,scheduled_departure,actual_departure,scheduled_arrival,actual_arrival,flight_duration,altitude,speed,heading,fuel_consumption,passenger_count,cargo_weight,weather_conditions,maintenance_status,incident_reported,sensor_data
8270,AA3976,SEA,MIA,2023-07-24 11:45:00,2023-08-06 10:23:00,2023-06-13 16:43:00,2023-08-02 13:51:00,151,29576,549.3751432271645,286,4105.789785998899,137,40642.5910614121,Clear,Grounded,False,"{'engine_temperature': {'unit': 'Celsius', 'value': 939.3851408906856}, 'cabin_pressure': {'unit': 'Pascal', 'value': 84514.29810361832}, 'vibration_level': {'unit': 'G-force', 'value': 1.494819293965951}, 'fuel_level': {'unit': 'Gallons/Liters', 'value': 5423.445611492098}}"
1860,DL3385,DEN,ATL,2023-05-26 15:17:00,2023-09-03 17:54:00,2023-08-23 16:08:00,2023-04-08 11:48:00,80,13178,543.0981814198549,4,3624.647350724286,217,41537.893730131946,Windy,Scheduled Maintenance,False,"{'engine_temperature': {'unit': 'Celsius', 'value': 1096.2287463583643}, 'cabin_pressure': {'unit': 'Pascal', 'value': 80695.39779567104}, 'vibration_level': {'unit': 'G-force', 'value': 0.7595417831760903}, 'fuel_level': {'unit': 'Gallons/Liters', 'value': 4873.991771331242}}"
6390,AA2802,SEA,CLT,2023-07-23 21:20:00,2023-10-20 06:56:00,2023-11-23 01:36:00,2023-02-07 08:57:00,143,32436,504.2468264970669,265,1709.7150778788275,87,36599.39613903981,Snowy,Unscheduled Maintenance,False,"{'engine_temperature': {'unit': 'Celsius', 'value': 1018.7121870757571}, 'cabin_pressure': {'unit': 'Pascal', 'value': 75730.81562027015}, 'vibration_level': {'unit': 'G-force', 'value': 1.1223432646172462}, 'fuel_level': {'unit': 'Gallons/Liters', 'value': 5962.355673524589}}"
6191,AA7616,DFW,ORD,2023-10-07 10:55:00,2023-03-22 01:55:00,2023-10-19 01:15:00,2023-10-03 20:37:00,321,29118,564.4786837634116,344,3180.1076755877534,237,20411.47430264012,Snowy,Unscheduled Maintenance,False,"{'engine_temperature': {'unit': 'Celsius', 'value': 938.0215299567456}, 'cabin_pressure': {'unit': 'Pascal', 'value': 82925.95116288384}, 'vibration_level': {'unit': 'G-force', 'value': 1.4078987937796192}, 'fuel_level': {'unit': 'Gallons/Liters', 'value': 5887.403185640442}}"
6734,UA6534,SEA,MIA,2023-10-25 01:29:00,2023-08-27 08:28:00,2023-01-19 02:39:00,2023-08-03 02:34:00,206,16116,486.1724183076067,129,4938.678958098033,108,46287.80122823319,Clear,Scheduled Maintenance,False,"{'engine_temperature': {'unit': 'Celsius', 'value': 1092.0271208810896}, 'cabin_pressure': {'unit': 'Pascal', 'value': 80214.59638721473}, 'vibration_level': {'unit': 'G-force', 'value': 1.4773079079915037}, 'fuel_level': {'unit': 'Gallons/Liters', 'value': 5514.6204142688775}}"
7265,UA1262,CLT,LAX,2023-12-27 07:03:00,2023-08-22 06:15:00,2023-09-11 16:03:00,2023-05-03 07:55:00,316,25563,579.3428579680244,266,4749.5522659884755,187,36829.29247623336,Icing,Grounded,False,"{'engine_temperature': {'unit': 'Celsius', 'value': 932.3342872473924}, 'cabin_pressure': {'unit': 'Pascal', 'value': 79769.0010646797}, 'vibration_level': {'unit': 'G-force', 'value': 1.218331175372004}, 'fuel_level': {'unit': 'Gallons/Liters', 'value': 4494.680631638166}}"
1466,UA9815,ATL,ATL,2023-09-14 03:14:00,2023-07-03 03:26:00,2023-05-02 19:10:00,2023-01-28 01:56:00,117,36788,414.2560540110328,177,1172.6949431880466,148,32417.6252392176,Turbulence,Scheduled Maintenance,False,"{'engine_temperature': {'unit': 'Celsius', 'value': 1028.1230367097774}, 'cabin_pressure': {'unit': 'Pascal', 'value': 81666.00479046619}, 'vibration_level': {'unit': 'G-force', 'value': 0.6626997438085659}, 'fuel_level': {'unit': 'Gallons/Liters', 'value': 5130.170624905512}}"
5426,AA3049,CLT,DEN,2023-11-16 05:12:00,2023-08-05 14:38:00,2023-04-26 15:20:00,2023-08-13 10:31:00,74,36928,590.9320060066615,252,1659.2592629177484,241,14439.578768539242,Cloudy,Unscheduled Maintenance,False,"{'engine_temperature': {'unit': 'Celsius', 'value': 1054.3253821957214}, 'cabin_pressure': {'unit': 'Pascal', 'value': 79988.95664535942}, 'vibration_level': {'unit': 'G-force', 'value': 0.5121031167761074}, 'fuel_level': {'unit': 'Gallons/Liters', 'value': 4018.076938158584}}"
6578,AA6423,SEA,LAX,2023-04-23 03:08:00,2023-05-29 01:02:00,2023-06-17 16:31:00,2023-01-06 16:24:00,221,13568,530.9386162862696,55,1526.9150938182477,112,27882.221752257017,Icing,Operational,False,"{'engine_temperature': {'unit': 'Celsius', 'value': 971.4058687940025}, 'cabin_pressure': {'unit': 'Pascal', 'value': 84261.94068431781}, 'vibration_level': {'unit': 'G-force', 'value': 0.7286767796036088}, 'fuel_level': {'unit': 'Gallons/Liters', 'value': 5268.727377743375}}"
9322,UA5548,CLT,SEA,2023-12-15 09:33:00,2023-05-02 05:24:00,2023-12-23 05:22:00,2023-10-23 01:25:00,222,19847,476.0149017874411,82,3903.919639941182,98,28414.33084807705,Snowy,Scheduled Maintenance,False,"{'engine_temperature': {'unit': 'Celsius', 'value': 944.4151741386642}, 'cabin_pressure': {'unit': 'Pascal', 'value': 78216.69989659548}, 'vibration_level': {'unit': 'G-force', 'value': 1.348042089601484}, 'fuel_level': {'unit': 'Gallons/Liters', 'value': 5457.722884539894}}"
